RIR,Country Code,ASN Number,Allocated Date
afrinic,ZA,AS1228,19910301
afrinic,ZA,AS1229,19910301
afrinic,ZA,AS1230,19910301
afrinic,ZA,AS1231,19910301
afrinic,ZA,AS1232,19910301
afrinic,ZA,AS2018,20010307
afrinic,EG,AS2561,20070920
afrinic,ZA,AS2905,19930910
afrinic,ZA,AS3067,19931029
afrinic,ZA,AS3068,19931029
afrinic,DZ,AS3208,20090928
afrinic,ZA,AS3741,19940801
afrinic,ZA,AS4178,20120307
afrinic,ZA,AS4571,20010626
afrinic,MU,AS5536,20231122
afrinic,ZA,AS5713,19950906
afrinic,ZA,AS5734,19950913
afrinic,ZA,AS6083,19951108
afrinic,ZA,AS6089,20151211
afrinic,EG,AS6127,20070920
afrinic,ZA,AS6149,20010307
afrinic,ZA,AS6180,19951221
afrinic,ZA,AS6187,19840101
afrinic,ZA,AS6351,20151211
afrinic,ZA,AS6529,19960517
afrinic,ZA,AS6560,19960523
afrinic,MA,AS6713,20070920
afrinic,EG,AS6879,19961216
afrinic,ZA,AS6968,19960710
afrinic,ZA,AS7020,19960730
afrinic,ZA,AS7154,19960923
afrinic,ZA,AS7231,19961014
afrinic,ZA,AS7390,19961127
afrinic,ZM,AS7420,19961206
afrinic,ZA,AS7460,19961218
afrinic,ZA,AS7971,19970307
afrinic,ZA,AS7972,19970307
afrinic,ZA,AS8094,19970409
afrinic,EG,AS8524,20070920
afrinic,ZZ,AS8770,
afrinic,ZA,AS9129,20070920
afrinic,ZA,AS10247,19970523
afrinic,ZA,AS10262,19970528
afrinic,ZA,AS10331,20110815
afrinic,ZA,AS10393,20151211
afrinic,ZA,AS10474,20151211
afrinic,ZA,AS10505,19970828
afrinic,ZA,AS10540,19970909
afrinic,ZA,AS10575,19970919
afrinic,ZA,AS10798,19971201
afrinic,ZA,AS10803,19971202
afrinic,ZA,AS10898,19971219
afrinic,ZA,AS11125,19980417
afrinic,ZA,AS11157,19980429
afrinic,ZZ,AS11201,
afrinic,AO,AS11259,19980604
afrinic,ZZ,AS11265,
afrinic,ZZ,AS11380,
afrinic,ZA,AS11569,19981007
afrinic,ZA,AS11645,19981102
afrinic,ZA,AS11744,19981204
afrinic,ZA,AS11845,19990114
afrinic,ZZ,AS11909,
afrinic,ZA,AS12091,20020621
afrinic,TZ,AS12143,19990405
afrinic,ZA,AS12258,20151211
afrinic,KE,AS12455,20070917
afrinic,KE,AS12556,20090115
afrinic,ZZ,AS13224,
afrinic,ZZ,AS13402,
afrinic,ZZ,AS13519,
afrinic,ZZ,AS13569,
afrinic,ZA,AS13854,19990827
afrinic,ZZ,AS14029,
afrinic,ZA,AS14115,19991022
afrinic,ZA,AS14331,19991130
afrinic,ZZ,AS14429,
afrinic,ZA,AS14516,19991228
afrinic,BW,AS14988,20000302
afrinic,ZA,AS15022,20000309
afrinic,ZZ,AS15159,
afrinic,KE,AS15399,20070919
afrinic,EG,AS15475,20070921
afrinic,SD,AS15706,20070919
afrinic,ZZ,AS15804,
afrinic,GH,AS15825,20070919
afrinic,ZZ,AS15834,
afrinic,CM,AS15964,20070920
afrinic,GA,AS16058,20070920
afrinic,DZ,AS16214,20071226
afrinic,NG,AS16284,20070920
afrinic,ZZ,AS16416,
afrinic,ZZ,AS16547,
afrinic,ZZ,AS16630,
afrinic,ZA,AS16637,20070920
afrinic,ZA,AS16800,20000612
afrinic,ZZ,AS16853,
afrinic,KE,AS16907,20070927
afrinic,ZA,AS17148,20000731
afrinic,ZZ,AS17220,
afrinic,ZZ,AS17260,
afrinic,ZZ,AS17312,
afrinic,AO,AS17400,20000828
afrinic,MU,AS17652,20041105
afrinic,ZZ,AS18775,
afrinic,ZW,AS18922,20001027
afrinic,ZA,AS18931,20001030
afrinic,ZZ,AS19136,
afrinic,ZA,AS19232,20001206
afrinic,MU,AS19676,20150202
afrinic,SZ,AS19711,20101124
afrinic,ZA,AS19832,19971016
afrinic,ZZ,AS19847,
afrinic,ZA,AS20011,20010314
afrinic,ZZ,AS20086,
afrinic,ZZ,AS20095,
afrinic,SC,AS20180,20140402
afrinic,UG,AS20294,20090928
afrinic,NA,AS20459,20010510
afrinic,ZZ,AS20484,
afrinic,EG,AS20858,20070920
afrinic,EG,AS20928,20070920
afrinic,LY,AS21003,20090125
afrinic,ZZ,AS21152,
afrinic,SC,AS21242,20131224
afrinic,ML,AS21271,20070920
afrinic,ZZ,AS21278,
afrinic,MU,AS21280,20150202
afrinic,DZ,AS21391,20070920
afrinic,ZZ,AS21452,
afrinic,ZA,AS21739,20140124
afrinic,ZZ,AS21819,
afrinic,TZ,AS22354,20010914
afrinic,ZA,AS22355,20010914
afrinic,ZA,AS22386,20010920
afrinic,ZA,AS22572,20011016
afrinic,RW,AS22690,20131202
afrinic,NA,AS22735,20130211
afrinic,ZA,AS22750,20011115
afrinic,ZZ,AS22939,
afrinic,ZA,AS23058,20020110
afrinic,UG,AS23549,20090928
afrinic,MU,AS23889,20040910
afrinic,EG,AS24736,20070920
afrinic,ET,AS24757,20070920
afrinic,ZA,AS24788,20070920
afrinic,ZZ,AS24801,
afrinic,EG,AS24835,20070920
afrinic,EG,AS24863,20070920
afrinic,EG,AS24878,20070920
afrinic,EG,AS24987,20070920
afrinic,NG,AS25163,20050309
afrinic,GM,AS25250,20070920
afrinic,ZZ,AS25362,
afrinic,EG,AS25364,20070920
afrinic,BF,AS25543,20070920
afrinic,ZZ,AS25568,
afrinic,EG,AS25576,20070920
afrinic,LS,AS25695,20020419
afrinic,ZA,AS25726,20140116
afrinic,ZA,AS25793,20150505
afrinic,ZA,AS25818,20100210
afrinic,ZA,AS26106,20020708
afrinic,NE,AS26130,20131129
afrinic,ZA,AS26422,20020915
afrinic,ZZ,AS26625,
