RIR,Network,Country Code,Host Number,Allocated Date
afrinic,41.0.0.0/11,ZA,2097152,20071126
afrinic,41.32.0.0/12,EG,1048576,20091105
afrinic,41.48.0.0/13,ZA,524288,20091211
afrinic,41.56.0.0/16,ZA,65536,20100125
afrinic,41.57.0.0/18,ZA,16384,20110121
afrinic,41.57.64.0/20,ZW,4096,20111215
afrinic,41.57.80.0/20,LR,4096,20120118
afrinic,41.57.96.0/20,KE,4096,20120309
afrinic,41.57.112.0/24,ZA,256,20120313
afrinic,41.57.120.0/22,NG,1024,20120426
afrinic,41.57.128.0/18,ZA,16384,20110121
afrinic,41.58.0.0/16,NG,65536,20100308
afrinic,41.59.0.0/16,TZ,65536,20100413
afrinic,41.60.0.0/16,ZM,65536,20100513
afrinic,41.61.0.0/16,ZA,65536,20100527
afrinic,41.62.0.0/16,TN,65536,20200106
afrinic,41.63.0.0/18,ZM,16384,20100805
afrinic,41.63.64.0/18,ZA,16384,20101115
afrinic,41.63.128.0/19,MG,8192,20101119
afrinic,41.63.160.0/19,AO,8192,20101201
afrinic,41.63.192.0/18,NA,16384,20100813
afrinic,41.64.0.0/15,EG,131072,20091105
afrinic,41.66.0.0/18,CI,16384,20171229
afrinic,41.66.64.0/18,ZA,16384,20091215
afrinic,41.66.128.0/18,ZA,16384,20100218
afrinic,41.66.192.0/18,GH,16384,20100309
afrinic,41.67.0.0/18,SD,16384,20100407
afrinic,41.67.64.0/20,CI,4096,20200228
afrinic,41.67.88.0/21,CI,2048,20200228
afrinic,41.67.96.0/19,CI,8192,20200228
afrinic,41.67.128.0/18,NG,16384,20100513
afrinic,41.68.0.0/15,EG,131072,20091231
afrinic,41.70.0.0/17,MW,32768,20140825
afrinic,41.70.128.0/17,AO,32768,20100604
afrinic,41.71.0.0/17,ZA,32768,20100701
afrinic,41.71.128.0/17,NG,32768,20100803
afrinic,41.72.96.0/19,ZM,8192,20091108
afrinic,41.72.128.0/19,ZA,8192,20091125
afrinic,41.72.160.0/19,KE,8192,20091202
afrinic,41.72.192.0/19,MU,8192,20091207
afrinic,41.73.0.0/20,NG,4096,20161115
afrinic,41.73.16.0/20,CI,4096,20200228
afrinic,41.73.32.0/19,ZA,8192,20100112
afrinic,41.73.96.0/19,ML,8192,20100319
afrinic,41.73.128.0/19,NG,8192,20100322
afrinic,41.73.160.0/19,TZ,8192,20100325
afrinic,41.73.192.0/19,TZ,8192,20100325
afrinic,41.73.224.0/19,NG,8192,20100406
afrinic,41.74.0.0/20,BJ,4096,20091026
afrinic,41.74.16.0/20,MG,4096,20100115
afrinic,41.74.48.0/20,BW,4096,20100215
afrinic,41.74.64.0/20,LY,4096,20100322
afrinic,41.74.80.0/20,GH,4096,20100413
afrinic,41.74.96.0/20,CI,4096,20200228
afrinic,41.74.112.0/20,TZ,4096,20100517
afrinic,41.74.128.0/20,CV,4096,20100518
afrinic,41.74.144.0/20,ZA,4096,20100607
afrinic,41.74.160.0/20,RW,4096,20140205
afrinic,41.74.176.0/20,ZA,4096,20100701
afrinic,41.74.192.0/20,ZA,4096,20100709
afrinic,41.74.208.0/20,MG,4096,20100804
afrinic,41.74.240.0/20,AO,4096,20100930
afrinic,41.75.0.0/20,BW,4096,20101020
afrinic,41.75.16.0/20,CI,4096,20200228
afrinic,41.75.32.0/20,CI,4096,20200228
afrinic,41.75.48.0/20,GH,4096,20101111
afrinic,41.75.64.0/20,CG,4096,20101125
afrinic,41.75.80.0/20,NG,4096,20101129
afrinic,41.75.96.0/20,ZA,4096,20101203
afrinic,41.75.112.0/20,MW,4096,20110112
afrinic,41.75.128.0/20,ZA,4096,20110208
afrinic,41.75.144.0/20,KE,4096,20110117
afrinic,41.75.160.0/20,UG,4096,20110104
afrinic,41.75.176.0/20,UG,4096,20101209
afrinic,41.75.192.0/20,NG,4096,20090901
afrinic,41.75.208.0/20,TZ,4096,20090831
afrinic,41.76.0.0/21,MZ,2048,20091009
afrinic,41.76.8.0/21,GM,2048,20091122
afrinic,41.76.16.0/21,LS,2048,20091127
afrinic,41.76.32.0/21,ZA,2048,20100105
afrinic,41.76.40.0/21,MU,2048,20100119
afrinic,41.76.56.0/21,ZA,2048,20100322
afrinic,41.76.64.0/21,NG,2048,20100324
afrinic,41.76.72.0/21,NG,2048,20100415
afrinic,41.76.80.0/21,NG,2048,20100430
afrinic,41.76.96.0/21,ZA,2048,20100929
afrinic,41.76.104.0/21,ZA,2048,20110105
afrinic,41.76.112.0/21,ZA,2048,20100205
afrinic,41.76.128.0/21,ZA,2048,20100412
afrinic,41.76.136.0/21,CI,2048,20200228
afrinic,41.76.144.0/21,MZ,2048,20100423
afrinic,41.76.152.0/21,NG,2048,20100525
afrinic,41.76.160.0/21,CI,2048,20200228
afrinic,41.76.168.0/21,KE,2048,20140722
afrinic,41.76.176.0/21,ZA,2048,20100619
afrinic,41.76.184.0/21,KE,2048,20100701
afrinic,41.76.192.0/21,NG,2048,20100705
afrinic,41.76.200.0/21,ZA,2048,20100715
afrinic,41.76.208.0/21,ZA,2048,20100730
afrinic,41.76.216.0/21,ZA,2048,20100827
afrinic,41.76.224.0/21,ZA,2048,20130618
afrinic,41.76.232.0/21,CI,2048,20200228
afrinic,41.76.240.0/21,BW,2048,20101208
afrinic,41.76.248.0/21,NG,2048,20101216
afrinic,41.77.0.0/21,ZM,2048,20101217
afrinic,41.77.8.0/21,MW,2048,20110104
afrinic,41.77.16.0/21,MG,2048,20110107
afrinic,41.77.24.0/21,ZA,2048,20110121
afrinic,41.77.32.0/21,MZ,2048,20110124
afrinic,41.77.40.0/21,NG,2048,20110202
afrinic,41.77.48.0/21,ZA,2048,20110216
afrinic,41.77.56.0/21,ZA,2048,20110407
afrinic,41.77.72.0/21,UG,2048,20110510
afrinic,41.77.80.0/21,CM,2048,20110517
afrinic,41.77.88.0/21,BW,2048,20110608
afrinic,41.77.96.0/21,ZA,2048,20110701
afrinic,41.77.104.0/21,ZA,2048,20110714
afrinic,41.77.112.0/21,MA,2048,20110721
afrinic,41.77.128.0/21,MZ,2048,20110812
afrinic,41.77.136.0/21,EG,2048,20110812
afrinic,41.77.144.0/21,MU,2048,20110908
afrinic,41.77.152.0/21,ZA,2048,20111116
afrinic,41.77.160.0/21,CI,2048,20200228
afrinic,41.77.168.0/21,NG,2048,20111124
afrinic,41.77.184.0/21,GN,2048,20120308
afrinic,41.77.200.0/21,ZA,2048,20120426
afrinic,41.77.216.0/22,CI,1024,20200228
afrinic,41.77.220.0/22,CD,1024,20120313
afrinic,41.77.232.0/21,SZ,2048,20121026
afrinic,41.77.248.0/21,CI,2048,20200228
afrinic,41.78.4.0/22,ZA,1024,20090904
afrinic,41.78.8.0/22,NG,1024,20091016
afrinic,41.78.12.0/22,CI,1024,20200228
afrinic,41.78.16.0/22,AO,1024,20091026
afrinic,41.78.20.0/22,EG,1024,20091106
afrinic,41.78.24.0/22,KE,1024,20091108
afrinic,41.78.28.0/22,ZA,1024,20091123
afrinic,41.78.36.0/22,ZA,1024,20091124
afrinic,41.78.44.0/22,CI,1024,20200228
afrinic,41.78.48.0/22,BF,1024,20091224
afrinic,41.78.52.0/22,BF,1024,20110916
afrinic,41.78.56.0/22,MW,1024,20091230
afrinic,41.78.64.0/22,TZ,1024,20100113
afrinic,41.78.68.0/22,CI,1024,20200228
afrinic,41.78.72.0/22,SO,1024,20100222
afrinic,41.78.76.0/22,ZW,1024,20201229
afrinic,41.78.80.0/22,NG,1024,20100319
afrinic,41.78.84.0/22,SL,1024,20100322
afrinic,41.78.88.0/22,NG,1024,20100322
afrinic,41.78.92.0/22,CI,1024,20200228
afrinic,41.78.100.0/22,NG,1024,20100402
afrinic,41.78.104.0/22,CI,1024,20200228
afrinic,41.78.108.0/22,SD,1024,20150908
afrinic,41.78.116.0/22,NE,1024,20100415
afrinic,41.78.120.0/22,CF,1024,20141008
afrinic,41.78.124.0/22,GH,1024,20100512
afrinic,41.78.128.0/22,ZA,1024,20130412
afrinic,41.78.132.0/22,CI,1024,20200228
afrinic,41.78.136.0/22,TG,1024,20100629
afrinic,41.78.140.0/22,ZA,1024,20100705
afrinic,41.78.144.0/22,CI,1024,20200228
afrinic,41.78.148.0/22,EG,1024,20100709
afrinic,41.78.152.0/22,CI,1024,20200228
afrinic,41.78.156.0/22,NG,1024,20100812
afrinic,41.78.160.0/22,CI,1024,20200228
afrinic,41.78.168.0/22,TZ,1024,20100928
afrinic,41.78.172.0/22,NG,1024,20100929
afrinic,41.78.176.0/22,CI,1024,20200228
afrinic,41.78.180.0/22,CI,1024,20200228
afrinic,41.78.184.0/22,ZA,1024,20120807
afrinic,41.78.188.0/22,ZA,1024,20101018
afrinic,41.78.192.0/22,CD,1024,20130412
afrinic,41.78.196.0/22,CD,1024,20101109
afrinic,41.78.200.0/22,ZA,1024,20101110
afrinic,41.78.208.0/22,NG,1024,20110107
afrinic,41.78.212.0/22,ZA,1024,20110107
afrinic,41.78.216.0/22,MW,1024,20110107
afrinic,41.78.220.0/22,ZA,1024,20110111
afrinic,41.78.224.0/22,NG,1024,20110128
afrinic,41.78.228.0/22,ZA,1024,20110204
afrinic,41.78.232.0/22,ZA,1024,20110215
afrinic,41.78.236.0/22,CI,1024,20200228
afrinic,41.78.240.0/22,GA,1024,20110222
afrinic,41.78.244.0/22,ZA,1024,20110223
afrinic,41.78.248.0/22,MW,1024,20110301
afrinic,41.78.252.0/22,NG,1024,20110304
afrinic,41.79.0.0/22,CI,1024,20200228
afrinic,41.79.4.0/22,NG,1024,20110318
afrinic,41.79.8.0/22,KE,1024,20110318
afrinic,41.79.12.0/22,CI,1024,20200228
afrinic,41.79.16.0/22,ZA,1024,20110330
afrinic,41.79.20.0/22,ZA,1024,20110406
afrinic,41.79.24.0/22,SS,1024,20110506
afrinic,41.79.28.0/22,ZW,1024,20110510
afrinic,41.79.32.0/22,BW,1024,20110510
afrinic,41.79.36.0/22,ZA,1024,20110512
afrinic,41.79.44.0/22,BI,1024,20110526
afrinic,41.79.48.0/22,GQ,1024,20110527
afrinic,41.79.56.0/22,ZW,1024,20110531
afrinic,41.79.60.0/22,SC,1024,20110531
afrinic,41.79.64.0/22,NG,1024,20110613
