RIR,Country Code,ASN Number,Allocated Date
apnic,JP,AS173,20020801
apnic,NZ,AS681,20020801
apnic,AU,AS1221,20000131
apnic,JP,AS1233,20020801
apnic,KR,AS1237,20020801
apnic,SG,AS1250,20020801
apnic,TW,AS1659,20020801
apnic,KR,AS1704,20020801
apnic,TW,AS1768,20020801
apnic,KR,AS1781,20020801
apnic,AU,AS1851,20020801
apnic,HK,AS2042,20161013
apnic,AU,AS2144,20020801
apnic,KR,AS2385,20020801
apnic,JP,AS2497,20020405
apnic,NZ,AS2537,20020801
apnic,JP,AS2554,20020801
apnic,KR,AS2563,20020801
apnic,NZ,AS2569,20020801
apnic,IN,AS2697,20020801
apnic,HK,AS2706,20030514
apnic,JP,AS2713,20020801
apnic,NZ,AS2756,20020801
apnic,AU,AS2764,20020801
apnic,HK,AS2772,20100720
apnic,AU,AS2823,20020801
apnic,JP,AS2907,20020801
apnic,JP,AS2915,20020801
apnic,NZ,AS2925,20020801
apnic,SG,AS3119,19931117
apnic,KR,AS3357,20020801
apnic,HK,AS3363,20031124
apnic,ID,AS3382,20020801
apnic,JP,AS3391,20020801
apnic,AU,AS3395,20020801
apnic,CN,AS3460,20020801
apnic,TW,AS3462,20020801
apnic,JP,AS3488,20020801
apnic,JP,AS3510,20020801
apnic,PH,AS3550,20020801
apnic,AU,AS3558,20020801
apnic,KR,AS3559,20020801
apnic,ID,AS3583,20020801
apnic,GU,AS3605,20020801
apnic,KR,AS3608,20020801
apnic,HK,AS3661,20020801
apnic,HK,AS3662,20020801
apnic,HK,AS3689,20100720
apnic,NZ,AS3711,20020801
apnic,CN,AS3717,20020801
apnic,NZ,AS3747,20020801
apnic,KR,AS3748,20020801
apnic,KR,AS3757,20020801
apnic,SG,AS3758,20020801
apnic,NZ,AS3773,20020801
apnic,JP,AS3775,20020801
apnic,KR,AS3784,20020801
apnic,KR,AS3786,20020801
apnic,NZ,AS3787,20020801
apnic,KR,AS3813,20020801
apnic,KR,AS3825,20020801
apnic,TH,AS3836,20020801
apnic,TH,AS3839,20020801
apnic,AU,AS3840,20020801
apnic,NZ,AS3929,20020801
apnic,IN,AS3969,20020801
apnic,KR,AS3976,20020801
apnic,NP,AS4007,20041213
apnic,KR,AS4040,20020801
apnic,NZ,AS4049,20020801
apnic,HK,AS4058,20020801
apnic,KR,AS4060,20020801
apnic,CN,AS4134,20020801
apnic,HK,AS4142,20020801
apnic,HK,AS4158,20020801
apnic,AU,AS4174,20020801
apnic,AU,AS4197,20230713
apnic,KR,AS4202,20020801
apnic,JP,AS4251,20020801
apnic,TH,AS4274,20020801
apnic,HK,AS4352,20061121
apnic,AU,AS4381,20020801
apnic,ID,AS4382,20020801
apnic,HK,AS4431,20020801
apnic,AU,AS4433,20020801
apnic,ID,AS4434,20020801
apnic,HK,AS4515,20020801
apnic,HK,AS4528,20040130
apnic,CN,AS4538,20020801
apnic,HK,AS4594,20020801
apnic,HK,AS4605,20020801
apnic,AU,AS4608,19950530
apnic,MO,AS4609,19950615
apnic,NZ,AS4610,20150904
apnic,CN,AS4611,19950930
apnic,HK,AS4612,19950930
apnic,NP,AS4613,19950611
apnic,HK,AS4614,19950704
apnic,PK,AS4615,19950629
apnic,HK,AS4616,19950707
apnic,BN,AS4617,19950731
apnic,TH,AS4618,19950810
apnic,HK,AS4619,19950811
apnic,,AS4620,
apnic,TH,AS4621,19950816
apnic,ID,AS4622,19941221
apnic,HK,AS4623,19950818
apnic,HK,AS4624,19950805
apnic,HK,AS4625,19950905
apnic,HK,AS4626,19950908
apnic,HK,AS4627,19950819
apnic,SG,AS4628,19950912
apnic,JP,AS4629,19950912
apnic,HK,AS4630,19950925
apnic,SG,AS4631,20031008
apnic,AU,AS4632,19950912
apnic,HK,AS4633,19950925
apnic,AU,AS4634,20030915
apnic,HK,AS4635,19951020
apnic,TW,AS4636,19951030
apnic,HK,AS4637,19951030
apnic,FJ,AS4638,19951026
apnic,HK,AS4639,19951030
apnic,HK,AS4640,19951108
apnic,HK,AS4641,19951124
apnic,HK,AS4642,19951130
apnic,AU,AS4643,20031106
apnic,HK,AS4644,19951206
apnic,HK,AS4645,19951207
apnic,HK,AS4646,20160104
apnic,AU,AS4647,20110701
apnic,NZ,AS4648,19951110
apnic,HK,AS4649,19951224
apnic,HK,AS4650,19951121
apnic,TH,AS4651,19951227
apnic,AU,AS4653,20110705
apnic,HK,AS4654,19951224
apnic,HK,AS4655,19960109
apnic,HK,AS4656,19960113
apnic,SG,AS4657,19960118
apnic,HK,AS4658,19951224
apnic,CN,AS4659,19960206
apnic,KR,AS4660,19960222
apnic,PK,AS4661,20071108
apnic,TW,AS4662,19960201
apnic,KR,AS4663,19951228
apnic,KR,AS4664,19951226
apnic,KR,AS4665,20041217
apnic,KR,AS4666,19951028
apnic,NZ,AS4667,20070808
apnic,KR,AS4668,19950921
apnic,KR,AS4669,19951004
apnic,KR,AS4670,19950616
apnic,KR,AS4671,19950530
apnic,JP,AS4672,19950830
apnic,PH,AS4682,19950830
apnic,JP,AS4683,19950830
apnic,AU,AS4736,19951023
apnic,AU,AS4737,19960202
apnic,AU,AS4738,19960202
apnic,AU,AS4739,19960212
apnic,AU,AS4740,19960222
apnic,TH,AS4741,19960710
apnic,AU,AS4742,19960307
apnic,AU,AS4743,20160705
apnic,AU,AS4744,19960312
apnic,KR,AS4745,19960308
apnic,HK,AS4746,19960319
apnic,TW,AS4747,19960319
apnic,HK,AS4748,19960319
apnic,AU,AS4749,20070809
apnic,TH,AS4750,19960321
apnic,CN,AS4751,20031107
apnic,AU,AS4752,19960415
apnic,KR,AS4753,19960417
apnic,IN,AS4754,20080206
apnic,IN,AS4755,19960513
apnic,KR,AS4756,19960517
apnic,KR,AS4757,19960527
apnic,IN,AS4758,20100408
apnic,PH,AS4759,19960607
apnic,HK,AS4760,19960612
apnic,ID,AS4761,19960716
apnic,TH,AS4762,19960726
apnic,NZ,AS4763,19960726
apnic,AU,AS4764,20040122
apnic,SG,AS4765,20030115
apnic,KR,AS4766,19960422
apnic,TH,AS4767,19960228
apnic,NZ,AS4768,19980709
apnic,MY,AS4769,20040517
apnic,NZ,AS4770,20010330
apnic,NZ,AS4771,19960104
apnic,SG,AS4772,19960216
apnic,SG,AS4773,20050110
apnic,JP,AS4774,19960228
apnic,PH,AS4775,19960809
apnic,TH,AS4776,19960904
apnic,JP,AS4777,19960809
apnic,AU,AS4778,20031008
apnic,PH,AS4779,20030611
