RIR,Country Code,ASN Number,Allocated Date
arin,US,AS1,20010920
arin,US,AS2,19910110
arin,US,AS3,00000000
arin,US,AS4,19840222
arin,US,AS5,19840202
arin,US,AS6,19840202
arin,US,AS8,19840326
arin,US,AS9,19840417
arin,US,AS10,00000000
arin,US,AS11,19840704
arin,US,AS12,19840705
arin,US,AS13,19840716
arin,US,AS14,00000000
arin,US,AS15,00000000
arin,US,AS16,00000000
arin,US,AS17,19840801
arin,US,AS18,19840727
arin,US,AS19,19840727
arin,US,AS20,19840727
arin,US,AS21,19840730
arin,US,AS22,19840730
arin,US,AS23,19840802
arin,US,AS24,19840803
arin,US,AS25,19840803
arin,US,AS26,19840810
arin,US,AS27,19840828
arin,US,AS29,19840918
arin,US,AS30,19840921
arin,US,AS31,19840921
arin,US,AS32,19840924
arin,US,AS33,19840924
arin,US,AS34,19841003
arin,US,AS35,00000000
arin,US,AS36,19850104
arin,US,AS37,19850104
arin,US,AS38,19850124
arin,US,AS39,19850208
arin,US,AS40,19850228
arin,US,AS41,19850220
arin,US,AS42,20010516
arin,US,AS43,19850411
arin,US,AS44,19850605
arin,US,AS45,19850703
arin,US,AS46,19850816
arin,US,AS47,19850816
arin,US,AS48,19850828
arin,US,AS49,19850904
arin,US,AS50,19850920
arin,US,AS51,19851009
arin,US,AS52,19851024
arin,US,AS53,19851224
arin,US,AS54,19851224
arin,US,AS55,19851218
arin,US,AS56,19851218
arin,US,AS57,19851218
arin,CA,AS58,19851218
arin,US,AS59,19860121
arin,US,AS60,19860212
arin,US,AS61,19860218
arin,US,AS62,20120928
arin,US,AS63,19860224
arin,US,AS64,19860304
arin,US,AS65,19860318
arin,US,AS66,19860318
arin,US,AS67,19860403
arin,US,AS68,19860410
arin,US,AS69,19860410
arin,US,AS70,19860414
arin,US,AS71,19860414
arin,US,AS72,19860505
arin,US,AS73,19860505
arin,CA,AS74,19860505
arin,US,AS75,19860505
arin,US,AS76,19860505
arin,US,AS77,19860505
arin,US,AS78,20001028
arin,US,AS79,19860505
arin,US,AS80,19860505
arin,US,AS81,19860807
arin,US,AS82,19860807
arin,US,AS83,19860807
arin,US,AS84,19861003
arin,US,AS85,19861010
arin,US,AS86,19861121
arin,US,AS87,19861010
arin,US,AS88,19861010
arin,US,AS89,19861112
arin,US,AS90,19861107
arin,US,AS91,19861118
arin,US,AS92,19861201
arin,US,AS93,20000329
arin,US,AS94,19870116
arin,US,AS95,19870123
arin,US,AS96,19870128
arin,US,AS97,19991206
arin,US,AS98,19870210
arin,US,AS99,19870219
arin,US,AS100,19870226
arin,US,AS101,19870331
arin,US,AS102,19870331
arin,US,AS103,19870409
arin,US,AS104,19870409
arin,US,AS105,19870409
arin,US,AS106,19870428
arin,US,AS107,19870428
arin,US,AS108,19870505
arin,US,AS109,19870506
arin,US,AS110,19870507
arin,US,AS111,19870511
arin,US,AS112,20020319
arin,US,AS113,19870512
arin,US,AS114,20000329
arin,US,AS115,19870611
arin,US,AS116,20000504
arin,US,AS117,19870612
arin,US,AS118,19870622
arin,US,AS119,19870624
arin,US,AS120,19870804
arin,US,AS121,19870813
arin,US,AS122,19870821
arin,US,AS123,19870824
arin,US,AS124,19870828
arin,US,AS125,19870828
arin,US,AS126,19870909
arin,US,AS127,19870916
arin,US,AS128,19870923
arin,US,AS129,19870923
arin,US,AS130,19870923
arin,US,AS131,19870930
arin,US,AS132,19871015
arin,US,AS133,19871019
arin,US,AS134,19871025
arin,US,AS135,19871026
arin,US,AS136,19871103
arin,US,AS138,19871111
arin,US,AS139,19871125
arin,US,AS140,19871203
arin,US,AS141,19871208
arin,US,AS142,19871215
arin,US,AS143,19871216
arin,US,AS144,19871216
arin,US,AS145,19960416
arin,US,AS146,19871221
arin,US,AS147,19871221
arin,US,AS148,19871224
arin,US,AS149,19880104
arin,US,AS150,19880104
arin,US,AS151,19880104
arin,US,AS152,19880104
arin,US,AS153,19880105
arin,US,AS154,19880108
arin,US,AS155,19880111
arin,US,AS156,19880201
arin,US,AS157,19880205
arin,US,AS158,19880205
arin,US,AS159,19880219
arin,US,AS160,19880225
arin,US,AS161,19880225
arin,US,AS162,19880301
