RIR,Country Code,ASN Number,Allocated Date
lacnic,MX,AS278,19890331
lacnic,AR,AS676,19900523
lacnic,BR,AS1251,19991112
lacnic,MX,AS1292,19910524
lacnic,CL,AS1296,19910611
lacnic,UY,AS1797,19940414
lacnic,MX,AS1831,19920519
lacnic,MX,AS1840,19920430
lacnic,BR,AS1916,19991116
lacnic,CR,AS2146,19930114
lacnic,EC,AS2277,19930114
lacnic,MX,AS2549,19930311
lacnic,NI,AS2638,19930512
lacnic,MX,AS2708,19930625
lacnic,BR,AS2715,20000216
lacnic,BR,AS2716,20081128
lacnic,MX,AS2739,19930720
lacnic,MX,AS2904,19930910
lacnic,PE,AS3132,19931119
lacnic,MX,AS3141,19931126
lacnic,AR,AS3449,19940217
lacnic,MX,AS3454,19940224
lacnic,MX,AS3484,19940311
lacnic,VE,AS3487,19940318
lacnic,VE,AS3496,19940323
lacnic,MX,AS3548,19940414
lacnic,PA,AS3551,19940414
lacnic,VE,AS3556,19940421
lacnic,MX,AS3596,19940517
lacnic,AR,AS3597,19940518
lacnic,CO,AS3603,19940518
lacnic,AR,AS3631,19940524
lacnic,MX,AS3632,19940524
lacnic,VE,AS3636,19940601
lacnic,MX,AS3640,19940601
lacnic,CR,AS3790,19940825
lacnic,CO,AS3816,19940909
lacnic,MX,AS3905,19941004
lacnic,MX,AS3968,19941027
lacnic,MX,AS4141,19941202
lacnic,VE,AS4209,19950105
lacnic,BR,AS4230,19991116
lacnic,MX,AS4242,19950111
lacnic,MX,AS4244,19950111
lacnic,AR,AS4270,19950118
lacnic,AR,AS4387,19950215
lacnic,MX,AS4493,19950308
lacnic,VE,AS4535,19950418
lacnic,HN,AS4914,19950504
lacnic,AR,AS4926,19950508
lacnic,VE,AS4944,19950515
lacnic,CW,AS4964,19950524
lacnic,AR,AS4967,19950524
lacnic,CL,AS4995,19950531
lacnic,VE,AS5005,19950315
lacnic,MX,AS5633,19950718
lacnic,TT,AS5639,19950718
lacnic,AR,AS5648,19950723
lacnic,AR,AS5692,19950906
lacnic,MX,AS5708,19950906
lacnic,CO,AS5722,19950906
lacnic,AR,AS5745,19950920
lacnic,BR,AS5772,19991116
lacnic,UY,AS6057,19951026
lacnic,MX,AS6063,19870101
lacnic,,AS6064,
lacnic,,AS6065,
lacnic,MX,AS6084,19951108
lacnic,AR,AS6121,19951117
lacnic,BR,AS6125,20130401
lacnic,GT,AS6133,19951122
lacnic,,AS6135,
lacnic,PE,AS6147,19951208
lacnic,,AS6148,
lacnic,PA,AS6193,19870101
lacnic,CL,AS6240,19870101
lacnic,VE,AS6306,19960229
lacnic,MX,AS6332,19960308
lacnic,MX,AS6342,19960314
lacnic,DO,AS6400,19960329
lacnic,CL,AS6429,20010419
lacnic,GT,AS6458,19960422
lacnic,CL,AS6471,19960425
lacnic,GT,AS6487,19960502
lacnic,MX,AS6495,19960506
lacnic,MX,AS6503,19960509
lacnic,BR,AS6505,20220311
lacnic,CL,AS6535,20000301
lacnic,,AS6543,
lacnic,VE,AS6545,19960828
lacnic,BO,AS6568,19960528
lacnic,MX,AS6590,19960603
