RIR,Network,Country Code,Host Number,Allocated Date
lacnic,24.152.0.0/22,BR,1024,20200310
lacnic,24.152.4.0/22,BR,1024,20200312
lacnic,24.152.8.0/22,BR,1024,20200309
lacnic,24.152.12.0/22,BR,1024,20200309
lacnic,24.152.16.0/22,BR,1024,20200312
lacnic,24.152.20.0/22,BR,1024,20230328
lacnic,24.152.24.0/22,BR,1024,20200313
lacnic,24.152.28.0/22,BR,1024,20200325
lacnic,24.152.32.0/22,BR,1024,20200310
lacnic,24.152.36.0/22,BR,1024,20200325
lacnic,24.152.40.0/22,PY,1024,20200320
lacnic,24.152.44.0/22,BR,1024,20200313
lacnic,24.152.48.0/22,DO,1024,20200309
lacnic,24.152.52.0/22,GT,1024,20200309
lacnic,24.152.56.0/24,CO,256,20200430
lacnic,24.152.57.0/24,AR,256,20200313
lacnic,24.152.58.0/23,CO,512,20200520
lacnic,24.152.60.0/22,BR,1024,20200316
lacnic,24.152.64.0/22,BR,1024,20200311
lacnic,24.152.68.0/22,BR,1024,20200311
lacnic,24.152.72.0/22,BR,1024,20200311
lacnic,24.152.76.0/22,BR,1024,20200311
lacnic,24.152.80.0/22,BR,1024,20200317
lacnic,24.152.84.0/22,BR,1024,20200311
lacnic,24.152.88.0/22,BR,1024,20200311
lacnic,24.152.92.0/22,BR,1024,20200313
lacnic,24.152.96.0/22,BR,1024,20200311
lacnic,24.152.100.0/22,BR,1024,20200311
lacnic,24.152.104.0/22,BR,1024,20200317
lacnic,24.152.108.0/22,BR,1024,20200312
lacnic,24.152.112.0/22,BR,1024,20200313
lacnic,24.152.116.0/22,BR,1024,20200312
lacnic,24.152.120.0/22,BR,1024,20200312
lacnic,24.152.124.0/22,BR,1024,20200318
lacnic,24.232.0.0/16,AR,65536,19970602
lacnic,27.50.12.0/22,EC,1024,20231211
lacnic,45.4.0.0/22,CL,1024,20170224
lacnic,45.4.4.0/22,BR,1024,20170221
lacnic,45.4.8.0/22,BR,1024,20170224
lacnic,45.4.12.0/22,BR,1024,20170217
lacnic,45.4.16.0/22,BR,1024,20170224
lacnic,45.4.20.0/22,BR,1024,20170223
lacnic,45.4.24.0/22,BR,1024,20170221
lacnic,45.4.28.0/22,BR,1024,20170217
lacnic,45.4.32.0/22,BR,1024,20170221
lacnic,45.4.36.0/22,BR,1024,20170221
lacnic,45.4.40.0/22,BR,1024,20170224
