RIR,Country Code,ASN Number,Allocated Date
ripencc,EU,AS7,19930901
ripencc,DE,AS28,19930901
ripencc,IT,AS137,19930901
ripencc,NO,AS224,19930901
ripencc,EU,AS248,19930901
ripencc,EU,AS249,19930901
ripencc,EU,AS250,19930901
ripencc,EU,AS251,19930901
ripencc,EU,AS261,19930901
ripencc,US,AS286,19930901
ripencc,DE,AS288,19930901
ripencc,EU,AS294,19930901
ripencc,FI,AS375,19930901
ripencc,IL,AS378,19930901
ripencc,CH,AS513,19921117
ripencc,US,AS517,19930901
ripencc,EU,AS528,19930901
ripencc,EU,AS529,19930901
ripencc,EU,AS544,19930901
ripencc,DE,AS553,19930901
ripencc,CH,AS559,19930901
ripencc,FI,AS565,19930901
ripencc,EU,AS590,19930901
ripencc,EU,AS593,19930901
ripencc,EU,AS669,19930901
ripencc,AT,AS679,19930901
ripencc,DE,AS680,19930901
ripencc,DK,AS692,19900723
ripencc,CH,AS695,19930901
ripencc,CH,AS696,19930901
ripencc,EU,AS697,19930901
ripencc,EU,AS709,19930901
ripencc,EU,AS710,19930901
ripencc,EU,AS712,19930901
ripencc,FI,AS719,19930901
ripencc,AT,AS760,19930901
ripencc,EU,AS761,19930901
ripencc,EU,AS764,19930901
ripencc,ES,AS766,19930901
ripencc,EU,AS774,19930901
ripencc,EU,AS775,19930901
ripencc,EU,AS776,19930901
ripencc,EU,AS777,19930901
ripencc,EU,AS778,19930901
ripencc,EU,AS779,19930901
ripencc,EU,AS780,19930901
ripencc,EU,AS781,19930901
ripencc,EU,AS782,19930901
ripencc,EU,AS783,19930901
ripencc,GB,AS786,19930901
ripencc,EU,AS789,19930901
ripencc,FI,AS790,19930901
ripencc,IM,AS926,20220616
ripencc,SI,AS1018,20220630
ripencc,NL,AS1101,19930901
ripencc,NL,AS1102,19930901
ripencc,NL,AS1103,19930901
ripencc,NL,AS1104,19930901
ripencc,NL,AS1105,19930901
ripencc,NL,AS1106,19930901
ripencc,NL,AS1107,19930901
ripencc,NL,AS1108,19930901
ripencc,AT,AS1109,19930901
ripencc,AT,AS1110,19930901
ripencc,AT,AS1111,19930901
ripencc,AT,AS1112,19930901
ripencc,AT,AS1113,19930901
ripencc,AT,AS1114,19930901
ripencc,AT,AS1115,19930901
ripencc,AT,AS1116,19930901
ripencc,EU,AS1117,19930901
ripencc,EU,AS1118,19930901
ripencc,EU,AS1119,19930901
ripencc,EU,AS1120,19930901
ripencc,EU,AS1121,19930901
ripencc,EU,AS1122,19930901
ripencc,EU,AS1123,19930901
ripencc,EU,AS1124,19930901
ripencc,NL,AS1125,19930901
ripencc,EU,AS1126,19930901
ripencc,NL,AS1127,19930901
ripencc,NL,AS1128,19930901
ripencc,NL,AS1129,19930901
ripencc,NL,AS1130,19930901
ripencc,NL,AS1131,19930901
ripencc,NL,AS1132,19930901
ripencc,NL,AS1133,19930901
ripencc,NL,AS1134,19930901
ripencc,EU,AS1135,19930901
ripencc,NL,AS1136,19930901
ripencc,EU,AS1137,19930901
ripencc,NL,AS1138,19930901
ripencc,NL,AS1139,19930901
ripencc,NL,AS1140,19930901
ripencc,NL,AS1141,19930901
ripencc,NL,AS1142,19930901
ripencc,NL,AS1143,19930901
ripencc,NL,AS1144,19930901
ripencc,NL,AS1145,19930901
ripencc,NL,AS1146,19930901
ripencc,NL,AS1147,19930901
ripencc,NL,AS1148,19930901
ripencc,NL,AS1149,19930901
ripencc,NL,AS1150,19930901
ripencc,NL,AS1151,19930901
ripencc,NL,AS1152,19930901
ripencc,NL,AS1153,19930901
ripencc,NL,AS1154,19930901
ripencc,NL,AS1155,19930901
